Loading dataset...
Training BDT
Loaded parameter file: /home/llr/t2k/giampaolo/srn/ntag-mva/models/BDT/grid_0_extend/params/038.p
Built BDT with these hyperparameters:
{'learning_rate': 0.3182960289073319, 'n_estimators': 920.0, 'subsample': 0.8890679371308995, 'maximum_depth': 8}
[06:32:39] WARNING: /workspace/src/learner.cc:686: Tree method is automatically selected to be 'approx' for faster speed. To use old behavior (exact greedy algorithm on single machine), set tree_method to 'exact'.
[0]	validation_0-mae:0.381663	validation_0-auc:0.897448	validation_1-mae:0.372869	validation_1-auc:0.897372
[1]	validation_0-mae:0.289824	validation_0-auc:0.925526	validation_1-mae:0.289809	validation_1-auc:0.925689
[2]	validation_0-mae:0.229628	validation_0-auc:0.94339	validation_1-mae:0.227152	validation_1-auc:0.943308
[3]	validation_0-mae:0.18371	validation_0-auc:0.95888	validation_1-mae:0.1847	validation_1-auc:0.958723
[4]	validation_0-mae:0.151903	validation_0-auc:0.96004	validation_1-mae:0.152697	validation_1-auc:0.959847
[5]	validation_0-mae:0.128418	validation_0-auc:0.962031	validation_1-mae:0.130217	validation_1-auc:0.961846
[6]	validation_0-mae:0.113172	validation_0-auc:0.964309	validation_1-mae:0.112712	validation_1-auc:0.964163
[7]	validation_0-mae:0.099101	validation_0-auc:0.966923	validation_1-mae:0.099989	validation_1-auc:0.966768
[8]	validation_0-mae:0.090682	validation_0-auc:0.968539	validation_1-mae:0.090457	validation_1-auc:0.968408
[9]	validation_0-mae:0.082379	validation_0-auc:0.969918	validation_1-mae:0.082782	validation_1-auc:0.969786
[10]	validation_0-mae:0.077045	validation_0-auc:0.972093	validation_1-mae:0.077373	validation_1-auc:0.971952
[11]	validation_0-mae:0.073311	validation_0-auc:0.972528	validation_1-mae:0.07328	validation_1-auc:0.972393
[12]	validation_0-mae:0.069718	validation_0-auc:0.972912	validation_1-mae:0.069174	validation_1-auc:0.972819
[13]	validation_0-mae:0.065758	validation_0-auc:0.974058	validation_1-mae:0.066105	validation_1-auc:0.973921
[14]	validation_0-mae:0.063117	validation_0-auc:0.974498	validation_1-mae:0.06339	validation_1-auc:0.974357
[15]	validation_0-mae:0.061123	validation_0-auc:0.975066	validation_1-mae:0.061577	validation_1-auc:0.974949
[16]	validation_0-mae:0.059715	validation_0-auc:0.975506	validation_1-mae:0.060214	validation_1-auc:0.97542
[17]	validation_0-mae:0.058056	validation_0-auc:0.976128	validation_1-mae:0.058569	validation_1-auc:0.97603
[18]	validation_0-mae:0.056677	validation_0-auc:0.976498	validation_1-mae:0.057296	validation_1-auc:0.976421
